service_date,period,day_type,window_start,window_end,observation_hours,servers_scheduled
2026-03-13,Afternoon peak,Weekday,2026-03-13T14:00:00Z,2026-03-13T16:00:00Z,2,5
2026-03-13,Evening,Weekday,2026-03-13T18:00:00Z,2026-03-13T20:00:00Z,2,4
2026-03-14,Morning peak,Weekend,2026-03-14T06:00:00Z,2026-03-14T08:00:00Z,2,6
2026-03-14,Midday,Weekend,2026-03-14T10:00:00Z,2026-03-14T12:00:00Z,2,5
2026-03-14,Afternoon peak,Weekend,2026-03-14T14:00:00Z,2026-03-14T16:00:00Z,2,5
2026-03-14,Evening,Weekend,2026-03-14T18:00:00Z,2026-03-14T20:00:00Z,2,4
2026-03-15,Morning peak,Weekend,2026-03-15T06:00:00Z,2026-03-15T08:00:00Z,2,6
2026-03-15,Midday,Weekend,2026-03-15T10:00:00Z,2026-03-15T12:00:00Z,2,5
2026-03-15,Afternoon peak,Weekend,2026-03-15T14:00:00Z,2026-03-15T16:00:00Z,2,5
2026-03-15,Evening,Weekend,2026-03-15T18:00:00Z,2026-03-15T20:00:00Z,2,4
2026-03-16,Morning peak,Weekday,2026-03-16T06:00:00Z,2026-03-16T08:00:00Z,2,6
2026-03-16,Midday,Weekday,2026-03-16T10:00:00Z,2026-03-16T12:00:00Z,2,5
2026-03-16,Afternoon peak,Weekday,2026-03-16T14:00:00Z,2026-03-16T16:00:00Z,2,5
2026-03-16,Evening,Weekday,2026-03-16T18:00:00Z,2026-03-16T20:00:00Z,2,4
2026-03-17,Morning peak,Weekday,2026-03-17T06:00:00Z,2026-03-17T08:00:00Z,2,6
2026-03-17,Midday,Weekday,2026-03-17T10:00:00Z,2026-03-17T12:00:00Z,2,5
2026-03-17,Afternoon peak,Weekday,2026-03-17T14:00:00Z,2026-03-17T16:00:00Z,2,5
2026-03-17,Evening,Weekday,2026-03-17T18:00:00Z,2026-03-17T20:00:00Z,2,4
2026-03-18,Morning peak,Weekday,2026-03-18T06:00:00Z,2026-03-18T08:00:00Z,2,6
2026-03-18,Midday,Weekday,2026-03-18T10:00:00Z,2026-03-18T12:00:00Z,2,5
2026-03-18,Afternoon peak,Weekday,2026-03-18T14:00:00Z,2026-03-18T16:00:00Z,2,5
2026-03-18,Evening,Weekday,2026-03-18T18:00:00Z,2026-03-18T20:00:00Z,2,4
2026-03-19,Morning peak,Weekday,2026-03-19T06:00:00Z,2026-03-19T08:00:00Z,2,6
2026-03-19,Midday,Weekday,2026-03-19T10:00:00Z,2026-03-19T12:00:00Z,2,5
2026-03-19,Afternoon peak,Weekday,2026-03-19T14:00:00Z,2026-03-19T16:00:00Z,2,5
2026-03-19,Evening,Weekday,2026-03-19T18:00:00Z,2026-03-19T20:00:00Z,2,4
2026-03-20,Morning peak,Weekday,2026-03-20T06:00:00Z,2026-03-20T08:00:00Z,2,6
2026-03-20,Midday,Weekday,2026-03-20T10:00:00Z,2026-03-20T12:00:00Z,2,5
2026-03-20,Afternoon peak,Weekday,2026-03-20T14:00:00Z,2026-03-20T16:00:00Z,2,5
2026-03-20,Evening,Weekday,2026-03-20T18:00:00Z,2026-03-20T20:00:00Z,2,4
2026-03-21,Morning peak,Weekend,2026-03-21T06:00:00Z,2026-03-21T08:00:00Z,2,6
2026-03-21,Midday,Weekend,2026-03-21T10:00:00Z,2026-03-21T12:00:00Z,2,5
2026-03-21,Afternoon peak,Weekend,2026-03-21T14:00:00Z,2026-03-21T16:00:00Z,2,5
2026-03-21,Evening,Weekend,2026-03-21T18:00:00Z,2026-03-21T20:00:00Z,2,4
2026-03-22,Morning peak,Weekend,2026-03-22T06:00:00Z,2026-03-22T08:00:00Z,2,6
2026-03-22,Midday,Weekend,2026-03-22T10:00:00Z,2026-03-22T12:00:00Z,2,5
2026-03-22,Afternoon peak,Weekend,2026-03-22T14:00:00Z,2026-03-22T16:00:00Z,2,5
2026-03-22,Evening,Weekend,2026-03-22T18:00:00Z,2026-03-22T20:00:00Z,2,4
2026-03-23,Morning peak,Weekday,2026-03-23T06:00:00Z,2026-03-23T08:00:00Z,2,6
2026-03-23,Midday,Weekday,2026-03-23T10:00:00Z,2026-03-23T12:00:00Z,2,5
2026-03-23,Afternoon peak,Weekday,2026-03-23T14:00:00Z,2026-03-23T16:00:00Z,2,5
2026-03-23,Evening,Weekday,2026-03-23T18:00:00Z,2026-03-23T20:00:00Z,2,4
2026-03-24,Morning peak,Weekday,2026-03-24T06:00:00Z,2026-03-24T08:00:00Z,2,6
2026-03-24,Midday,Weekday,2026-03-24T10:00:00Z,2026-03-24T12:00:00Z,2,5
2026-03-24,Afternoon peak,Weekday,2026-03-24T14:00:00Z,2026-03-24T16:00:00Z,2,5
2026-03-24,Evening,Weekday,2026-03-24T18:00:00Z,2026-03-24T20:00:00Z,2,4
2026-03-25,Morning peak,Weekday,2026-03-25T06:00:00Z,2026-03-25T08:00:00Z,2,6
2026-03-25,Midday,Weekday,2026-03-25T10:00:00Z,2026-03-25T12:00:00Z,2,5
2026-03-25,Afternoon peak,Weekday,2026-03-25T14:00:00Z,2026-03-25T16:00:00Z,2,5
2026-03-25,Evening,Weekday,2026-03-25T18:00:00Z,2026-03-25T20:00:00Z,2,4
2026-03-26,Morning peak,Weekday,2026-03-26T06:00:00Z,2026-03-26T08:00:00Z,2,6
2026-03-26,Midday,Weekday,2026-03-26T10:00:00Z,2026-03-26T12:00:00Z,2,5
2026-03-26,Afternoon peak,Weekday,2026-03-26T14:00:00Z,2026-03-26T16:00:00Z,2,5
2026-03-26,Evening,Weekday,2026-03-26T18:00:00Z,2026-03-26T20:00:00Z,2,4
2026-03-27,Morning peak,Weekday,2026-03-27T06:00:00Z,2026-03-27T08:00:00Z,2,6
2026-03-27,Midday,Weekday,2026-03-27T10:00:00Z,2026-03-27T12:00:00Z,2,5
2026-03-27,Afternoon peak,Weekday,2026-03-27T14:00:00Z,2026-03-27T16:00:00Z,2,5
2026-03-27,Evening,Weekday,2026-03-27T18:00:00Z,2026-03-27T20:00:00Z,2,4
2026-03-28,Morning peak,Weekend,2026-03-28T06:00:00Z,2026-03-28T08:00:00Z,2,6
2026-03-28,Midday,Weekend,2026-03-28T10:00:00Z,2026-03-28T12:00:00Z,2,5
2026-03-28,Afternoon peak,Weekend,2026-03-28T14:00:00Z,2026-03-28T16:00:00Z,2,5
2026-03-28,Evening,Weekend,2026-03-28T18:00:00Z,2026-03-28T20:00:00Z,2,4
2026-03-29,Morning peak,Weekend,2026-03-29T06:00:00Z,2026-03-29T08:00:00Z,2,6
2026-03-29,Midday,Weekend,2026-03-29T10:00:00Z,2026-03-29T12:00:00Z,2,5
2026-03-29,Afternoon peak,Weekend,2026-03-29T14:00:00Z,2026-03-29T16:00:00Z,2,5
2026-03-29,Evening,Weekend,2026-03-29T18:00:00Z,2026-03-29T20:00:00Z,2,4
